quote_date,expiry,strike,underlying_price,c_bid,c_ask,c_iv,p_bid,p_ask,p_iv,combined_futures,log_moneyness,dte,total_variance
2026-03-06,2026-03-09,2800.0,6740.02,3921.8,3949.4,4.477055184936522,0.0,0.05,2.6093784765625,6735.575000000001,-0.8777837639441405,3,0.055963200279021644
2026-03-06,2026-03-09,5500.0,6740.02,1222.3,1248.9,1.2238808337402345,0.05,0.15,0.719729365234375,6735.5,-0.20264395391806034,3,0.004257619390526107
2026-03-06,2026-03-09,6000.0,6740.02,729.8,739.5,1.0000000000000004e-05,0.35,0.5,0.5034229345703125,6734.225,-0.11544326348605406,3,0.0020830245291894667
2026-03-06,2026-03-09,6100.0,6740.02,630.3,639.5,1.0000000000000004e-05,0.55,0.7,0.4565484033203125,6734.275,-0.09892138626662503,3,0.0004283128266624516
2026-03-06,2026-03-09,6460.0,6740.02,274.7,282.5,0.2652356192016601,4.1,4.4,0.2974618594360351,6734.35,-0.041591976645691205,3,0.0006506064091751086
2026-03-06,2026-03-09,6470.0,6740.02,265.1,273.0,0.2665478619384765,4.5,4.8,0.294379614868164,6734.4,-0.040052610521359916,3,0.0006465197963767074
2026-03-06,2026-03-09,6500.0,6740.02,236.6,244.6,0.2651745846557617,5.9,6.2,0.2847361566162109,6734.55,-0.03544881558373854,3,0.000621373609656761
2026-03-06,2026-03-09,6520.0,6740.02,217.8,225.8,0.2616345809936523,7.0,7.6,0.2805858074951171,6734.5,-0.032369192118170916,3,0.0006041156500539286
2026-03-06,2026-03-09,6550.0,6740.02,190.3,198.1,0.2558210404968262,9.4,10.0,0.272193557434082,6734.5,-0.027778518409571937,3,0.0005728755115646684
2026-03-06,2026-03-09,6575.0,6740.02,167.9,175.6,0.2506941386413574,12.0,12.5,0.2647473428344726,6734.5,-0.023968989992904265,3,0.0005459176455328735
2026-03-06,2026-03-09,6600.0,6740.02,146.1,153.8,0.2455824954223632,15.2,15.8,0.2583844914245606,6734.45,-0.020166494540632622,3,0.000521882309242947
2026-03-06,2026-03-09,6625.0,6740.02,125.2,132.8,0.2401275328826904,19.2,19.9,0.2519758641052246,6734.45,-0.016385771700726533,3,0.0004976008630007783
2026-03-06,2026-03-09,6635.0,6740.02,117.2,124.3,0.2359161492156982,21.0,21.7,0.2488631022644042,6734.4,-0.014870051249998201,3,0.00048289915616220883
2026-03-06,2026-03-09,6640.0,6740.02,116.2,117.6,0.2203447106933593,22.0,22.7,0.2475203422546386,6734.55,-0.014139028996987456,3,0.0004497898104863689
2026-03-06,2026-03-09,6650.0,6740.02,108.3,109.7,0.2186967779541015,24.1,24.8,0.2446898651885986,6734.55,-0.012634137817567238,3,0.00044122023501998636
2026-03-06,2026-03-09,6675.0,6740.02,89.5,90.4,0.2122347454071045,30.3,31.0,0.2382049446868896,6734.3,-0.008844665504795792,3,0.00041690941317528785
2026-03-06,2026-03-09,6680.0,6740.02,85.9,86.8,0.211372632446289,31.6,32.4,0.2369232192230224,6734.35,-0.008103306891647274,3,0.000412950350597082
2026-03-06,2026-03-09,6695.0,6740.02,75.6,76.2,0.2079699565124511,36.1,36.8,0.2324753266906738,6734.45,-0.005875164429876627,3,0.0003986137962244128
2026-03-06,2026-03-09,6700.0,6740.02,72.2,72.8,0.20684081741333,37.7,38.4,0.2310562734985352,6734.45,-0.005128617176092049,3,0.00039401478540220745
2026-03-06,2026-03-09,6710.0,6740.02,65.5,66.2,0.2045520219421386,41.0,41.8,0.2282868309783935,6734.45,-0.0036371925894220507,3,0.0003849646697210178
2026-03-06,2026-03-09,6720.0,6740.02,59.1,59.8,0.201881760559082,44.6,45.4,0.2252656209564208,6734.45,-0.0021479890379543496,3,0.0003749072990456517
2026-03-06,2026-03-09,6725.0,6740.02,56.0,56.7,0.2004932246398925,46.5,47.3,0.2237550159454345,6734.45,-0.0014042180851096913,3,0.0003698354170679702
2026-03-06,2026-03-09,6740.0,6740.02,47.1,47.8,0.1960300734710693,52.3,53.4,0.219108761138916,6734.6,0.0008015080654099574,3,0.00035412380548219876
2026-03-06,2026-03-09,6745.0,6740.02,44.2,44.9,0.1941532611846924,54.5,55.6,0.2176515613555908,6734.5,0.0015579216029867028,3,0.00034845865452212487
2026-03-06,2026-03-09,6750.0,6740.02,41.5,42.1,0.1923298541259765,56.7,57.8,0.2158739302062988,6734.55,0.002291512399108419,3,0.0003423910881024467
2026-03-06,2026-03-09,6755.0,6740.02,38.8,39.4,0.1905598522949219,59.0,60.1,0.2141954801940918,6734.55,0.003031978926832164,3,0.0003366305736540247
2026-03-06,2026-03-09,6760.0,6740.02,36.2,36.8,0.188835626373291,61.4,62.5,0.2126009526824951,6734.55,0.0037718975695427283,3,0.0003311328637068748
2026-03-06,2026-03-09,6765.0,6740.02,33.6,34.2,0.1867299345397949,63.8,64.9,0.2106783644866943,6734.55,0.004511269137421388,3,0.00032452059479820707
2026-03-06,2026-03-09,6770.0,6740.02,31.2,31.8,0.1850743724822997,66.4,67.5,0.209244052658081,6734.55,0.005250094438853672,3,0.00031949387754491094
2026-03-06,2026-03-09,6775.0,6740.02,28.8,29.4,0.1830144565582274,68.9,70.1,0.207466421508789,6734.6,0.0059809499069588355,3,0.00031330544411504405
2026-03-06,2026-03-09,6780.0,6740.02,26.6,27.0,0.1805272988128662,71.7,72.8,0.2057574542236327,6734.55,0.006726109466974289,3,0.00030660803512699093
2026-03-06,2026-03-09,6785.0,6740.02,24.4,24.9,0.1789175126647949,74.5,75.6,0.2041171508026122,6734.6,0.007455876428026655,3,0.00030147031524162287
2026-03-06,2026-03-09,6790.0,6740.02,22.3,22.8,0.1768652260589599,77.4,78.5,0.2025378819274901,6734.6,0.008192524711799038,3,0.00029578092811598185
2026-03-06,2026-03-09,6795.0,6740.02,20.3,20.8,0.1748053101348877,79.9,82.3,0.2046283151245116,6734.45,0.008950904030094525,3,0.0002958285122825142
2026-03-06,2026-03-09,6800.0,6740.02,18.4,19.0,0.173210782623291,83.1,85.6,0.2041781853485107,6734.35,0.009701317741859422,3,0.00029264883523319495
2026-03-06,2026-03-09,6805.0,6740.02,16.7,17.2,0.1711356080627441,83.7,91.3,0.2145235408782958,6734.45,0.010421492530416946,3,0.0003056157106066997
2026-03-06,2026-03-09,6810.0,6740.02,15.0,15.5,0.1690451748657226,89.5,92.0,0.2012637857818603,6734.5,0.011148552104688566,3,0.0002817713554847118
