QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,COMBINED_FORWARD,LOG_MONEYNESS,TOTAL_VARIANCE
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00034,0.00528, , 2.000000,70.5,1 x 1,89.06,91.66,180.0,0.0,0.01,0 x 260,0.0,-0.00114,7e-05,0.00067,-0.01034,0.0, 2.577000, ,90.9,0.336,270.62,-0.4077587719452877,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00501, , ,0.0,1 x 1,88.06,90.66,181.0,0.0,0.02,0 x 260,0.0,-0.00056,0.00013,0.00057,-0.01009,0.0, 2.544710, ,89.9,0.332,270.62,-0.4022185915696724,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.0002,0.0047, , ,0.0,1 x 1,86.49,89.66,182.0,0.0,0.02,0 x 260,0.0,-0.00123,5e-05,0.00053,-0.00968,-0.00042, 2.513120, ,88.9,0.328,270.62,-0.3967089357587027,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00456, , ,0.0,1 x 1,86.07,88.66,183.0,0.0,0.03,0 x 1680,0.0,-0.00053,0.00013,0.00013,-0.01023,-0.00022, 2.482220, ,87.9,0.325,270.62,-0.3912294699940772,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00498, , ,0.0,1 x 1,85.05,87.66,184.0,0.0,0.02,0 x 1680,0.0,-0.00144,6e-05,0.00041,-0.01026,0.0, 2.451260, ,86.9,0.321,270.62,-0.3857798652265126,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00508, , ,0.0,1 x 1,84.06,86.67,185.0,0.0,0.03,0 x 240,0.0,-0.00127,0.0001,0.00096,-0.01485,-0.0005, 2.503110, ,85.9,0.317,270.62,-0.3803597977571733,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00031,0.00463, , ,0.0,1 x 1,83.05,85.67,186.0,0.0,0.03,0 x 240,0.0,-0.00162,0.00019,0.00019,-0.01531,0.0, 2.471040, ,84.9,0.314,270.62,-0.3749689491222969,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00053,0.00536, , ,0.0,1 x 1,82.06,84.65,187.0,0.0,0.02,0 x 700,0.0,-0.00084,0.0001,0.00053,-0.00991,0.0, 2.350780, ,83.9,0.31,270.62,-0.3696070059809114,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00046,0.00477, , ,0.0,1 x 1,81.06,83.65,188.0,0.0,0.02,0 x 700,0.0,-0.00066,0.00016,0.00026,-0.0097,0.0, 2.318920, ,82.9,0.306,270.62,-0.364273660005549,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00053,0.00495, , ,0.0,1 x 1,80.05,82.67,189.0,0.0,0.01,0 x 700,0.0,-0.00137,0.00015,0.00037,-0.00932,-0.00037, 2.281560, ,81.9,0.302,270.62,-0.3589686077758558,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00054,0.00534, , ,0.0,1 x 1,78.5,81.66,190.0,0.0,0.02,0 x 700,0.02,-0.00103,7e-05,0.00053,-0.00972,-0.00044, 2.257440, 5.000000,80.9,0.299,270.62,-0.353691550675012,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00033,0.0055, , ,0.0,1 x 1,78.06,80.66,191.0,0.0,0.02,0 x 700,0.0,-0.00148,8e-05,0.00081,-0.01006,-0.00047, 2.231060, ,79.9,0.295,270.62,-0.3484421947888682,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00028,0.00563, , ,0.0,1 x 1,77.06,79.66,192.0,0.0,0.02,0 x 700,0.0,-0.00064,0.00015,0.00096,-0.01022,-0.00028, 2.190720, ,78.9,0.291,270.62,-0.3432202508077165,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00033,0.00568, , ,0.0,1 x 1,76.06,78.67,193.0,0.0,0.02,0 x 700,0.01,-0.00159,0.0001,0.0009,-0.01026,-0.00028, 2.164960, 1.000000,77.9,0.288,270.62,-0.3380254339306127,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.0056, , ,0.0,1 x 2,74.49,77.66,194.0,0.0,0.02,0 x 700,0.0,-0.00073,0.00017,0.00068,-0.00986,-0.00037, 2.134610, ,76.9,0.284,270.62,-0.33285746377217,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-4e-05,0.00507, , 1.000000,67.88,1 x 2,73.49,76.66,195.0,0.0,0.02,0 x 700,0.0,-0.0009,0.00011,0.00015,-0.0101,0.0, 2.106710, ,75.9,0.28,270.62,-0.3277160642717513,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-2e-05,0.00496, , ,0.0,1 x 1,73.07,75.66,196.0,0.0,0.02,0 x 701,0.0,-0.00163,0.00011,0.00066,-0.01063,0.0, 2.078990, ,74.9,0.277,270.62,-0.3226009636049808,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.0056, , ,0.0,1 x 1,72.07,74.65,197.0,0.0,0.02,0 x 700,0.0,-0.00146,0.00011,0.00108,-0.01,0.0, 2.050180, ,73.9,0.273,270.62,-0.3175118940975096,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00516, , ,0.0,1 x 1,71.07,73.66,198.0,0.0,0.01,0 x 700,0.0,-0.00096,0.00015,0.00018,-0.00983,-0.00035, 2.011610, ,72.9,0.269,270.62,-0.312448592140963,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.0052, , ,0.0,11 x 11,71.52,72.27,199.0,0.0,0.02,0 x 700,0.0,-0.0015,0.00018,0.00026,-0.00995,-0.00046, 1.983180, ,71.9,0.266,270.62,-0.3074107981110058,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00505, , 1.000000,62.88,1 x 1,69.08,71.66,200.0,0.0,0.01,0 x 486,0.01,-0.00028,6e-05,-0.00012,-0.00515,0.0, 1.842470, 8.000000,70.9,0.262,270.62,-0.3023982562874615,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00561, , ,0.0,1 x 1,68.08,70.66,201.0,0.0,0.03,0 x 700,0.01,-0.0015,0.00018,0.00019,-0.00972,-6e-05, 1.924370, 1.000000,69.9,0.258,270.62,-0.2974107147764224,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00598, , ,0.0,1 x 1,67.07,69.67,202.0,0.0,0.02,0 x 700,0.0,-0.00117,0.00019,0.00103,-0.00982,-9e-05, 1.896180, ,68.9,0.254,270.62,-0.2924479254342933,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00535, , ,0.0,1 x 1,66.07,68.67,203.0,0.0,0.01,0 x 700,0.0,-0.00109,0.00013,0.00046,-0.01078,0.0, 1.868920, ,67.9,0.251,270.62,-0.2875096437937108,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-3e-05,0.0054, , ,0.0,1 x 1,65.07,67.65,204.0,0.0,0.03,0 x 700,0.0,-0.00177,0.00021,0.001,-0.01035,0.0, 1.841080, ,66.9,0.247,270.62,-0.2825956289912817,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00052,0.00518, , 11.000000,60.62,1 x 1,64.07,66.66,205.0,0.0,0.02,0 x 486,0.01,-0.00036,6e-05,0.0,-0.00459,-0.00041, 1.702440, 20.000000,65.9,0.243,270.62,-0.2777056436970899,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00015,0.00567, , ,0.0,1 x 1,63.07,65.66,206.0,0.0,0.02,0 x 700,0.0,-0.00108,0.00021,0.00028,-0.00995,-0.00011, 1.776370, ,64.9,0.24,270.62,-0.272839454045917,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00616, , ,0.0,1 x 1,62.08,64.67,207.0,0.0,0.03,0 x 700,0.02,-0.00121,0.00021,0.0008,-0.01008,-3e-05, 1.748840, 10.000000,63.9,0.236,270.62,-0.267996829570129,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00048,0.00609, , ,0.0,1 x 1,61.07,63.66,208.0,0.0,0.01,0 x 700,0.0,-0.00115,0.00023,0.00064,-0.01023,-0.00043, 1.721060, ,62.9,0.232,270.62,-0.2631775431341802,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00621, , ,0.0,1 x 1,60.07,62.65,209.0,0.0,0.03,0 x 700,0.01,-0.00179,0.00016,0.00059,-0.01052,-0.00023, 1.689330, 101.000000,61.9,0.229,270.62,-0.2583813708706872,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00048,0.00598, , ,0.0,1 x 1,59.07,61.67,210.0,0.0,0.02,0 x 700,0.01,-0.00111,0.00017,0.00041,-0.01033,0.0, 1.663260, 262.000000,60.9,0.225,270.62,-0.2536080921180295,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00594, , ,0.0,1 x 1,58.07,60.66,211.0,0.0,0.03,0 x 700,0.01,-0.00144,0.00021,0.00039,-0.0099,-0.00025, 1.635950, 32.000000,59.9,0.221,270.62,-0.2488574893594316,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00018,0.00619, , ,0.0,1 x 1,57.07,59.66,212.0,0.0,0.01,0 x 700,0.01,-0.00122,0.00021,0.00098,-0.01044,0.0, 1.606200, 7.000000,58.9,0.218,270.62,-0.2441293481634856,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00537, , ,0.0,11 x 11,57.54,58.29,213.0,0.0,0.02,0 x 700,0.02,-0.00146,0.00025,0.00098,-0.01054,0.0, 1.575940, 1.000000,57.9,0.214,270.62,-0.2394234571260731,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00029,0.00601, , ,0.0,1 x 1,55.07,57.66,214.0,0.0,0.03,0 x 700,0.01,-0.00137,0.00018,0.00114,-0.01013,0.0, 1.546760, 422.000000,56.9,0.21,270.62,-0.2347396078136467,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00557, , ,0.0,1 x 1,53.19,56.66,215.0,0.0,0.02,0 x 700,0.01,-0.00149,0.00026,0.00103,-0.01045,0.0, 1.523540, 305.000000,55.9,0.206,270.62,-0.2300775947078353,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.0001,0.00588, , ,0.0,1 x 1,53.07,55.66,216.0,0.0,0.0,0 x 486,0.01,-0.00121,0.00014,0.00019,-0.00459,-0.00035, 1.403630, 3.000000,54.9,0.203,270.62,-0.2254372151513331,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00614, , ,0.0,1 x 1,51.19,54.66,217.0,0.0,0.01,0 x 700,0.01,-0.00146,0.00024,0.00106,-0.01094,0.0, 1.468770, 666.000000,53.9,0.199,270.62,-0.2208182692950386,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.0003,0.00581, , 10.000000,42.66,11 x 11,52.33,53.13,218.0,0.0,0.01,0 x 486,0.01,-0.00074,0.00021,0.00047,-0.0052,0.0, 1.351070, ,52.9,0.195,270.62,-0.2162205600464092,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.0062, , 0.000000,32.97,1 x 1,49.49,53.36,219.0,0.0,0.0,0 x 486,0.01,-0.00123,0.00015,0.00016,-0.00457,-0.0001, 1.324800, 235.000000,51.9,0.192,270.62,-0.2116438930189973,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,0.0,0.00615, , 410.000000,43.26,11 x 11,50.53,51.29,220.0,0.0,0.01,0 x 486,0.01,-0.00134,0.0002,0.0006,-0.00496,-0.00046, 1.297710, ,50.9,0.188,270.62,-0.2070880764831366,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00042,0.00617, , 1.000000,85.77,1 x 1,48.0,51.36,221.0,0.0,0.01,0 x 486,0.01,-0.00112,0.00022,-3e-05,-0.00538,-0.00036, 1.272180, ,49.9,0.184,270.62,-0.2025529213177453,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,1.0,0.0,0.0,-0.00055,0.0065, , 1.000000,40.0,1 x 1,47.0,50.37,222.0,0.0,0.01,0 x 486,0.01,-0.00087,0.00019,0.00074,-0.00457,0.0, 1.245400, ,48.9,0.181,270.62,-0.1980382409632188,0.0
1584129600,2020-03-13 16:00,2020-03-13,16.0,270.94,2020-03-13,1584129600,0.0,0.98664,0.00146,0.00537,-0.11969,0.00587, 1.720580, 2.000000,56.3,11 x 11,47.67,48.44,223.0,0.0,0.0,0 x 486,0.01,-0.00131,0.00018,0.00076,-0.00489,-0.00038, 1.220230, ,47.9,0.177,270.62,-0.1935438513753794,0.0
