QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,COMBINED_FORWARD,LOG_MONEYNESS,TOTAL_VARIANCE
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,0.0,0.00633, , 1.000000,15.97,5 x 50,12.79,13.18,226.0,0.0,0.01,0 x 1,0.01,-0.00269,0.00191,0.00169,-0.00495,0.0, 0.410710, ,13.8,0.057,239.1,-0.0563468751919931,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,0.0,0.00593, , 4.000000,27.01,50 x 5,11.84,12.28,227.0,0.0,0.03,0 x 99,0.01,-0.01019,0.00491,0.00384,-0.01981,0.0, 0.449480, ,12.8,0.053,239.1,-0.0519318569828763,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,-0.00013,0.00644, , 1.000000,15.45,50 x 5,10.81,11.31,228.0,0.02,0.03,19 x 1,0.02,-0.01364,0.00625,0.00463,-0.02512,-0.00043, 0.429360, ,11.8,0.049,239.1,-0.0475362455098382,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,0.0,0.00663, , 1.000000,16.26,5 x 5,9.83,10.24,229.0,0.03,0.06,63 x 360,0.03,-0.02214,0.0097,0.00641,-0.0443,-0.00029, 0.432490, ,10.8,0.045,239.1,-0.0431598709100394,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,0.0,0.0067, , 71.000000,11.17,245 x 220,8.78,9.41,230.0,0.02,0.02,247 x 3,0.04,-0.01549,0.00847,0.00499,-0.02481,0.0, 0.363500, ,9.8,0.041,239.1,-0.0388025655410836,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,-0.00039,0.00587, , 7.000000,16.39,5 x 5,7.91,8.3,231.0,0.06,0.08,10 x 99,0.09,-0.03801,0.01653,0.01058,-0.07523,0.0, 0.395300, ,8.8,0.036,239.1,-0.0344641639424855,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,0.0,0.00633, , 22.000000,7.33,5 x 5,6.92,7.31,232.0,0.1,0.16,42 x 1,0.12,-0.06163,0.02403,0.01536,-0.13472,-0.00055, 0.402540, ,7.8,0.032,239.1,-0.030144502797969,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,-0.00017,0.00643, , 3.000000,17.27,5 x 50,6.01,6.38,233.0,0.14,0.21,188 x 2,0.2,-0.08017,0.0309,0.01903,-0.17549,-5e-05, 0.382620, ,6.8,0.028,239.1,-0.0258434208985784,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,0.0,0.00669, , 86.000000,15.27,11 x 5,5.21,5.57,234.0,0.29,0.31,200 x 1,0.29,-0.12187,0.04115,0.02589,-0.3003,-0.00106, 0.392360, ,5.8,0.024,239.1,-0.0215607591065776,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,1.0,0.0,0.0,-0.00017,0.00677, , 339.000000,5.33,11 x 61,4.29,4.6,235.0,0.16,0.3,1 x 1,0.39,-0.11807,0.04991,0.02484,-0.23001,-0.00115, 0.315000, ,4.8,0.02,239.1,-0.01729636032012,
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,0.96804,0.03664,0.00857,-0.02544,0.00643, 0.156850, 106.000000,4.12,11 x 5,3.47,3.79,236.0,0.34,0.47,1 x 50,0.54,-0.1831,0.06519,0.03345,-0.40988,-0.00144, 0.324220, ,3.8,0.016,239.1,-0.0130500694386689,0.0
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,0.81515,0.09052,0.0338,-0.30043,0.00484, 0.235220, 115.000000,3.71,124 x 188,2.65,3.17,237.0,0.83,0.86,18 x 10,0.81,-0.28561,0.07214,0.04223,-0.84457,-0.00144, 0.375660, ,2.8,0.011,239.1,-0.0088217333291478,0.0
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,0.66573,0.09474,0.04578,-0.85498,0.0045, 0.306030, ,2.43,74 x 1,2.43,2.51,238.0,1.23,1.41,32 x 150,1.32,-0.37085,0.07444,0.04775,-1.31528,-0.00294, 0.404720, ,1.8,0.007,239.1,-0.0046112007928042,0.0
1584388800,2020-03-16 16:00,2020-03-16,16.0,239.75,2020-03-16,1584388800,0.0,0.56572,0.10168,0.04914,-1.2557,0.0032, 0.308370, ,1.84,6 x 11,1.71,2.01,239.0,1.6,1.82,2 x 69,1.71,-0.44757,0.07892,0.04949,-1.70511,-0.0026, 0.399610, ,0.8,0.003,239.1,-0.0004183225327683,0.0
